order_id,order_date,ship_date,ship_mode,customer_id,customer_name,segment,region,category,sub-category,product_name,sales,quantity,discount,profit
Ca-583454,2024-02-11,2025-04-12,Standard Class,Cust-2342,Timothy Hayes,Corporate,West,Furniture,Chairs,Optional User-Facing Model,1761.26,3,0.21,-18.53
Ca-494199,2023-06-01,2025-05-06,Standard Class,Cust-5349,Laurie Richards Dds,Consumer,South,Office Supplies,Art,Up-Sized Stable Customer Loyalty,2735.49,7,0.24,108.25
Ca-191307,2023-07-10,2025-05-07,Second Class,Cust-4475,Rebecca Stewart,Corporate,Central,Technology,Accessories,Integrated Upward-Trending Intranet,3195.43,4,0.46,205.95
Ca-280002,2023-10-08,2025-04-15,Standard Class,Cust-9835,Kelli Hill,Home Office,Central,Office Supplies,Storage,Triple-Buffered Executive Concept,3059.85,7,0.25,363.69
Ca-975721,2024-05-11,2025-04-16,First Class,Cust-2230,Terry Day,Consumer,South,Furniture,Tables,Enhanced Optimizing Portal,2615.22,3,0.46,405.41
Ca-506300,2023-11-22,2025-04-24,Same Day,Cust-4920,Zachary Jackson,Corporate,South,Furniture,Tables,Business-Focused Disintermediate Projection,1503.32,9,0.25,809.06
Ca-485607,2024-05-26,2025-05-07,Second Class,Cust-2209,Tanner Wood,Consumer,South,Technology,Phones,Profit-Focused Neutral Customer Loyalty,944.86,2,0.11,990.26
Ca-143170,2024-10-07,2025-04-26,First Class,Cust-2680,Martha Hill,Home Office,East,Office Supplies,Storage,Organized Fault-Tolerant System Engine,4005.87,4,0.23,687.02
Ca-939132,2023-06-21,2025-04-20,Same Day,Cust-6110,Nichole Foster,Home Office,West,Office Supplies,Art,Business-Focused Local Structure,1524.31,1,0.17,-99.69
Ca-453305,2023-11-05,2025-04-19,Second Class,Cust-4301,Garrett Lewis,Home Office,West,Technology,Copiers,Fundamental Leadingedge Adapter,16.52,6,0.24,683.82
Ca-996661,2023-10-16,2025-04-17,Standard Class,Cust-8931,Jessica Jimenez,Home Office,East,Technology,Copiers,Ameliorated Next Generation Intranet,2630.21,8,0.13,780.36
Ca-983053,2024-04-08,2025-05-06,Same Day,Cust-5866,Emily Castillo,Home Office,South,Office Supplies,Art,Upgradable Radical Synergy,1957.88,5,0.14,385.26
Ca-331546,2024-01-04,2025-04-29,Same Day,Cust-2704,Susan Aguirre,Home Office,South,Furniture,Tables,Networked Static Core,1262.07,6,0.38,675.12
Ca-751157,2023-05-05,2025-04-12,Standard Class,Cust-1993,Scott Marshall,Consumer,Central,Technology,Copiers,Profound Encompassing Internet Solution,1861.16,1,0.03,935.25
Ca-753275,2023-10-27,2025-04-15,Second Class,Cust-8240,Bryan Walker,Corporate,West,Furniture,Bookcases,Face-To-Face Clear-Thinking Groupware,3691.75,9,0.15,399.19
Ca-700307,2023-07-14,2025-04-16,Same Day,Cust-1189,Nicole Smith,Home Office,West,Furniture,Bookcases,Diverse Fresh-Thinking Hub,4811.4,8,0.21,738.71
Ca-771019,2023-11-05,2025-04-09,Standard Class,Cust-5015,Spencer Gonzalez,Corporate,Central,Office Supplies,Labels,Balanced National Budgetary Management,4368.84,2,0.47,955.08
Ca-920667,2025-01-28,2025-05-03,First Class,Cust-4293,Teresa Palmer,Consumer,Central,Technology,Phones,Organized Clear-Thinking Contingency,274.19,9,0.47,100.75
Ca-692012,2024-03-15,2025-04-10,First Class,Cust-7611,David Thomas,Consumer,Central,Technology,Accessories,Expanded Solution-Oriented Portal,3804.68,10,0.04,79.15
Ca-682488,2023-07-19,2025-04-10,Same Day,Cust-9697,Edward Olson,Corporate,South,Office Supplies,Binders,Stand-Alone Eco-Centric Product,847.48,9,0.27,688.19
Ca-898310,2023-10-01,2025-05-02,Same Day,Cust-4524,Francisco Newman,Consumer,South,Office Supplies,Paper,Reactive Radical Adapter,433.66,3,0.3,-37.89
Ca-670658,2025-04-06,2025-04-23,First Class,Cust-3446,Stacey Gibson,Consumer,Central,Office Supplies,Binders,Face-To-Face Mobile Contingency,1604.33,8,0.45,452.4
Ca-499204,2024-02-07,2025-04-24,First Class,Cust-3550,David Taylor,Home Office,South,Technology,Phones,Phased Didactic Productivity,3531.81,2,0.26,28.24
Ca-517834,2025-01-06,2025-04-19,Standard Class,Cust-6927,Benjamin Francis,Corporate,East,Office Supplies,Binders,De-Engineered Systemic Middleware,4098.29,4,0.41,-60.5
Ca-170330,2023-09-21,2025-04-14,Same Day,Cust-7991,Joshua Shaffer,Corporate,East,Technology,Copiers,Decentralized Grid-Enabled Core,3975.67,9,0.18,318.65
Ca-751585,2023-05-05,2025-04-10,Second Class,Cust-5636,Ryan Barker,Consumer,Central,Technology,Computers,Distributed Multimedia Encryption,3943.73,9,0.2,563.12
Ca-755148,2024-07-29,2025-04-11,First Class,Cust-6986,Mr. Nathaniel Lane,Home Office,Central,Office Supplies,Art,Proactive Well-Modulated Algorithm,3723.61,1,0.48,544.32
Ca-533214,2023-08-03,2025-04-19,Same Day,Cust-3508,James Miller,Consumer,West,Office Supplies,Labels,Total National Orchestration,158.51,1,0.4,557.71
Ca-955012,2024-09-23,2025-04-29,Same Day,Cust-6198,Jonathan Alexander,Corporate,Central,Office Supplies,Art,Organized Methodical Website,2823.63,1,0.39,540.11
Ca-636606,2023-09-09,2025-04-20,Standard Class,Cust-2732,Michael Waters,Corporate,Central,Technology,Copiers,Triple-Buffered Multi-Tasking Frame,93.99,6,0.08,649.59
Ca-206862,2025-02-02,2025-04-15,First Class,Cust-5425,Peter Chandler,Consumer,West,Technology,Machines,Synergistic Heuristic Solution,2097.96,5,0.13,814.97
Ca-532183,2023-05-13,2025-04-14,Standard Class,Cust-2031,Dr. Danielle Bowman,Consumer,South,Furniture,Chairs,Fundamental Disintermediate Project,3768.13,7,0.32,238.35
Ca-310081,2023-07-24,2025-04-21,Second Class,Cust-2642,Brandy Nunez,Home Office,West,Office Supplies,Paper,Polarized 24Hour Toolset,4769.2,5,0.22,603.34
Ca-478618,2023-12-25,2025-05-05,Second Class,Cust-2565,Monica Johnson,Home Office,Central,Technology,Accessories,Quality-Focused Mission-Critical Challenge,4660.87,1,0.23,255.75
Ca-686654,2024-01-23,2025-04-25,Same Day,Cust-4919,Julie Sanders,Home Office,West,Office Supplies,Art,Distributed Value-Added Graphical User Interface,3857.7,7,0.2,796.73
Ca-855292,2023-07-12,2025-04-30,Standard Class,Cust-7648,Craig Scott,Home Office,Central,Furniture,Chairs,Seamless Dedicated Workforce,3494.78,1,0.21,860.91
Ca-375548,2024-03-14,2025-04-23,First Class,Cust-9612,Brenda Gardner,Consumer,East,Technology,Accessories,Innovative Fresh-Thinking Application,1454.56,1,0.34,474.1
Ca-419641,2023-08-02,2025-04-26,First Class,Cust-9947,David Thompson,Home Office,West,Technology,Computers,Re-Contextualized Reciprocal Challenge,2609.52,8,0.4,-9.63
Ca-161969,2023-06-12,2025-04-18,First Class,Cust-9796,Robin Martin,Corporate,West,Technology,Machines,Optional 6Thgeneration Hierarchy,3796.2,4,0.11,945.41
Ca-325358,2024-12-10,2025-04-18,Second Class,Cust-5429,Nathan Alvarez,Consumer,East,Furniture,Bookcases,Balanced Systemic Capacity,4250.19,3,0.06,254.39
Ca-160344,2023-06-25,2025-04-10,First Class,Cust-4747,Brian Walker,Consumer,Central,Furniture,Tables,Stand-Alone 3Rdgeneration Intranet,3180.24,10,0.24,836.73
Ca-559621,2025-03-11,2025-05-04,Standard Class,Cust-4209,Jacqueline Harris,Consumer,Central,Furniture,Chairs,De-Engineered 3Rdgeneration Graphical User Interface,1360.43,4,0.11,299.79
Ca-275434,2024-09-23,2025-04-27,Same Day,Cust-1755,Franklin Villanueva,Consumer,South,Office Supplies,Storage,Devolved Asynchronous Infrastructure,1987.86,2,0.03,409.4
Ca-677772,2024-12-14,2025-04-17,Standard Class,Cust-9825,Katelyn Simpson,Corporate,Central,Office Supplies,Binders,Enhanced 5Thgeneration Superstructure,3565.42,5,0.33,353.21
Ca-721019,2024-03-12,2025-05-08,Same Day,Cust-2581,David Sparks,Consumer,South,Technology,Phones,Optional Neutral Secured Line,2215.2,9,0.38,716.69
Ca-643126,2024-12-11,2025-04-14,First Class,Cust-3311,Pamela Ball,Consumer,East,Furniture,Chairs,Streamlined User-Facing Definition,3947.62,4,0.49,-89.78
Ca-747599,2023-10-27,2025-04-30,Standard Class,Cust-8262,Ronald Brown,Corporate,Central,Office Supplies,Paper,Managed Impactful Budgetary Management,3496.66,6,0.42,-99.96
Ca-532723,2023-06-09,2025-05-01,First Class,Cust-1739,Emily Gonzalez,Consumer,Central,Furniture,Bookcases,Integrated Exuding Approach,1031.56,3,0.28,168.83
Ca-380423,2024-06-23,2025-05-07,Standard Class,Cust-8775,Katherine Delgado,Corporate,South,Office Supplies,Paper,Fully-Configurable Interactive Productivity,3971.02,6,0.34,-3.42
Ca-361103,2024-01-09,2025-05-03,Same Day,Cust-9281,Katrina Meyers,Corporate,Central,Furniture,Chairs,Fully-Configurable Bi-Directional Customer Loyalty,3206.46,5,0.32,29.56
Ca-785894,2023-08-24,2025-04-27,Second Class,Cust-3949,Beverly Butler,Corporate,East,Furniture,Tables,Face-To-Face Object-Oriented Website,221.18,3,0.37,761.82
Ca-247375,2024-10-30,2025-04-10,Standard Class,Cust-2832,Edward Young,Consumer,East,Office Supplies,Art,Cross-Group Mission-Critical Strategy,234.14,5,0.02,558.25
Ca-852164,2023-06-30,2025-05-08,Same Day,Cust-5973,Megan Hopkins,Consumer,East,Office Supplies,Storage,User-Friendly 5Thgeneration Functionalities,3531.78,1,0.35,-97.64
Ca-785588,2023-12-14,2025-04-19,Standard Class,Cust-3968,Tonya Morrison,Consumer,West,Technology,Copiers,Optimized Motivating Implementation,2396.5,8,0.35,317.95
Ca-750103,2024-10-09,2025-05-05,Standard Class,Cust-3412,Michael Smith,Corporate,West,Furniture,Furnishings,Universal Multimedia Archive,2574.87,8,0.46,599.47
Ca-985413,2024-07-05,2025-05-01,First Class,Cust-5520,Danny Blair,Consumer,South,Office Supplies,Labels,De-Engineered Fresh-Thinking Strategy,4604.07,9,0.01,296.17
Ca-886754,2025-02-14,2025-05-02,First Class,Cust-8157,Francisco Saunders,Corporate,South,Office Supplies,Binders,Down-Sized Even-Keeled Complexity,210.16,4,0.25,682.77
Ca-178998,2024-03-02,2025-04-27,Second Class,Cust-5776,Justin Thompson,Consumer,South,Office Supplies,Binders,Object-Based Clear-Thinking Firmware,85.96,10,0.38,136.18
Ca-611227,2024-08-25,2025-04-12,First Class,Cust-8181,Mr. John Walker,Corporate,East,Furniture,Chairs,Organized Didactic Core,4994.6,8,0.17,327.75
Ca-501451,2023-07-16,2025-04-29,First Class,Cust-3025,Alicia Dunn,Corporate,East,Technology,Accessories,Synergized Human-Resource Archive,4385.26,9,0.47,131.26
Ca-292577,2024-12-12,2025-04-26,Same Day,Cust-3744,Kelly Martinez,Corporate,West,Technology,Machines,Stand-Alone Mobile Extranet,4609.34,2,0.15,212.89
Ca-291201,2023-12-12,2025-04-10,First Class,Cust-9756,Curtis Stevens,Consumer,South,Technology,Phones,Customizable Multimedia Open Architecture,3870.28,2,0.24,78.87
Ca-202956,2023-12-10,2025-04-29,Second Class,Cust-5504,Michael Sweeney,Corporate,Central,Furniture,Tables,Extended Exuding Data-Warehouse,627.72,5,0.43,-14.78
Ca-811063,2025-04-08,2025-04-26,Second Class,Cust-7490,Thomas Carpenter,Home Office,West,Furniture,Chairs,Horizontal Next Generation Instruction Set,4174.52,2,0.19,648.61
Ca-859314,2024-12-25,2025-04-27,First Class,Cust-2199,Alyssa Tyler,Corporate,West,Furniture,Chairs,Persistent Actuating Ability,447.93,2,0.24,802.92
Ca-435699,2025-02-02,2025-04-17,Same Day,Cust-2974,David Peterson,Corporate,West,Technology,Accessories,Future-Proofed Contextually-Based Hub,3617.1,8,0.32,702.3
Ca-882359,2024-04-12,2025-04-14,First Class,Cust-2097,Caleb Cline,Corporate,East,Technology,Copiers,Profound Full-Range Knowledgebase,366.09,7,0.08,-40.72
Ca-866167,2024-06-11,2025-05-02,First Class,Cust-9732,Wayne Bowen,Home Office,East,Office Supplies,Storage,De-Engineered Holistic Emulation,663.91,8,0.24,553.38
Ca-424086,2023-08-07,2025-05-08,Standard Class,Cust-1265,Scott Hopkins,Consumer,West,Office Supplies,Paper,Customer-Focused Motivating Knowledgebase,1286.09,5,0.33,599.63
Ca-841271,2024-12-21,2025-04-12,Second Class,Cust-1917,Travis Burns,Consumer,Central,Office Supplies,Labels,Multi-Tiered Holistic Instruction Set,2575.34,4,0.46,-71.78
Ca-232183,2024-03-21,2025-05-06,Same Day,Cust-5815,Catherine Lewis,Consumer,Central,Technology,Phones,Diverse Dynamic Methodology,4061.48,1,0.45,64.59
Ca-505088,2023-08-23,2025-05-02,Same Day,Cust-6642,Mr. Matthew Maynard Jr.,Consumer,Central,Furniture,Furnishings,Synergized Optimizing Budgetary Management,4945.8,9,0.13,238.31
Ca-660300,2024-09-29,2025-04-17,Standard Class,Cust-2011,Briana Bean,Home Office,Central,Technology,Copiers,Intuitive Executive Productivity,2159.81,8,0.19,626.14
Ca-533867,2023-11-18,2025-04-22,Standard Class,Cust-1817,Dean Lewis,Consumer,South,Office Supplies,Binders,Profit-Focused Value-Added Complexity,1871.36,8,0.18,677.48
Ca-418531,2023-09-09,2025-05-07,First Class,Cust-3156,Barbara Flores,Consumer,East,Office Supplies,Paper,Automated Bifurcated Service-Desk,91.7,7,0.3,268.46
Ca-235205,2024-08-20,2025-04-24,Second Class,Cust-4675,Ronald Scott,Corporate,Central,Furniture,Tables,Quality-Focused 3Rdgeneration Matrices,4792.47,7,0.15,553.59
Ca-828112,2024-01-11,2025-05-04,First Class,Cust-8014,Brandy Wright,Home Office,South,Furniture,Tables,Multi-Layered Modular Artificial Intelligence,3309.19,7,0.06,378.75
Ca-399262,2024-01-26,2025-04-15,First Class,Cust-7506,Dr. Lance Reyes Md,Consumer,East,Technology,Phones,Face-To-Face Clear-Thinking Superstructure,3547.81,8,0.12,345.8
Ca-513536,2024-07-14,2025-04-10,Second Class,Cust-1226,Jack Andrade,Corporate,West,Technology,Phones,Synergistic High-Level Firmware,3158.75,5,0.36,407.48
Ca-223336,2023-09-02,2025-04-16,First Class,Cust-6566,Cynthia Price,Consumer,Central,Furniture,Tables,Managed Disintermediate Instruction Set,943.91,5,0.31,23.47
Ca-854691,2024-04-23,2025-05-06,Standard Class,Cust-1770,Charles King,Consumer,South,Office Supplies,Storage,Reactive Fault-Tolerant Software,4725.68,5,0.37,104.98
Ca-183590,2024-10-24,2025-04-23,Standard Class,Cust-1982,Janet Lewis,Home Office,Central,Technology,Machines,Distributed Context-Sensitive Utilization,2897.02,10,0.25,996.72
Ca-306185,2025-02-21,2025-05-08,Second Class,Cust-6377,Dawn Bond,Home Office,Central,Furniture,Chairs,Face-To-Face Asymmetric Algorithm,730.24,5,0.06,739.25
Ca-985714,2024-08-24,2025-04-19,Second Class,Cust-2405,Bradley Chavez,Corporate,Central,Office Supplies,Storage,Cross-Platform Encompassing Neural-Net,1843.26,5,0.11,263.75
Ca-422665,2023-11-24,2025-04-17,Second Class,Cust-8062,Christopher Fritz,Corporate,East,Furniture,Chairs,Multi-Layered Disintermediate Core,3447.01,7,0.14,-18.39
Ca-645271,2024-11-16,2025-05-06,Second Class,Cust-8397,James Ballard,Home Office,West,Technology,Machines,Robust Global Approach,2702.22,1,0.49,244.23
Ca-510050,2024-12-09,2025-04-16,Standard Class,Cust-3969,Jeffrey Coleman,Home Office,East,Furniture,Chairs,Quality-Focused Interactive Orchestration,2143.28,9,0.27,844.44
Ca-233748,2023-06-10,2025-04-10,First Class,Cust-5791,Kenneth Olson,Corporate,East,Furniture,Chairs,Digitized Disintermediate Info-Mediaries,1171.43,3,0.22,895.95
Ca-964406,2023-12-25,2025-04-13,Second Class,Cust-2274,Carl Green,Corporate,South,Technology,Copiers,Object-Based Zero Tolerance Interface,1442.32,5,0.06,543.57
Ca-326949,2023-10-16,2025-05-02,Standard Class,Cust-2126,Crystal Brewer,Corporate,West,Office Supplies,Art,Horizontal Stable Protocol,2792.73,7,0.45,361.3
Ca-548640,2023-04-30,2025-05-04,Second Class,Cust-2638,Christine Hubbard,Consumer,Central,Technology,Copiers,Seamless 6Thgeneration Data-Warehouse,156.88,5,0.27,888.15
Ca-299643,2023-07-03,2025-04-17,Second Class,Cust-5469,Daniel Peterson,Home Office,Central,Technology,Machines,Seamless Web-Enabled Interface,267.79,9,0.3,685.64
Ca-674548,2023-07-12,2025-05-08,Standard Class,Cust-9867,Kimberly Aguilar,Home Office,East,Technology,Machines,Business-Focused Logistical Application,1729.5,7,0.11,-43.29
Ca-915933,2024-05-18,2025-05-05,First Class,Cust-6212,Thomas Carr,Corporate,South,Technology,Computers,Networked Context-Sensitive Framework,339.29,5,0.32,34.88
Ca-979446,2023-12-16,2025-05-04,First Class,Cust-7729,Daniel Green,Corporate,East,Furniture,Tables,Multi-Tiered Bandwidth-Monitored Methodology,768.33,4,0.13,-82.47
Ca-582916,2023-07-05,2025-04-09,Same Day,Cust-8759,Allison Hardy,Consumer,Central,Technology,Copiers,Progressive Heuristic Matrix,3960.69,7,0.38,80.93
Ca-355710,2023-04-09,2025-04-27,Second Class,Cust-6126,Charles Reyes,Corporate,Central,Office Supplies,Binders,Synergistic Uniform Conglomeration,3384.14,2,0.46,135.03
Ca-863454,2023-04-18,2025-04-13,Second Class,Cust-3071,Sarah Martin,Consumer,Central,Office Supplies,Labels,Proactive Secondary Access,2803.26,10,0.36,992.28
Ca-644764,2024-07-24,2025-04-20,Second Class,Cust-2442,Angela Frey,Corporate,East,Office Supplies,Binders,Phased Motivating Throughput,3802.99,9,0.38,618.5
Ca-977240,2025-02-02,2025-05-08,Second Class,Cust-3169,Amanda Kirk,Corporate,West,Furniture,Furnishings,Open-Architected Coherent Application,2894.66,9,0.2,564.22
Ca-701676,2023-07-11,2025-05-02,Same Day,Cust-1866,William Griffith,Corporate,Central,Technology,Copiers,Advanced Contextually-Based Focus Group,2187.46,6,0.22,241.45
Ca-504391,2024-12-21,2025-04-11,Second Class,Cust-9140,Rhonda Collins,Consumer,Central,Furniture,Furnishings,Fully-Configurable Client-Server Concept,2453.94,2,0.42,47.57
Ca-723721,2024-02-06,2025-05-08,Standard Class,Cust-4605,William Burns,Corporate,West,Technology,Copiers,Open-Architected Explicit Data-Warehouse,1766.24,10,0.05,68.52
Ca-577661,2024-10-21,2025-04-24,Second Class,Cust-5406,Zoe Soto,Consumer,Central,Technology,Phones,Progressive Foreground Algorithm,933.47,3,0.14,432.89
Ca-729267,2023-10-15,2025-04-12,First Class,Cust-4043,Victoria Patel,Corporate,Central,Office Supplies,Binders,Public-Key Client-Server Approach,4872.95,2,0.34,562.46
Ca-393246,2023-08-04,2025-05-07,Same Day,Cust-9126,Christian Brewer,Home Office,West,Technology,Copiers,Integrated Content-Based Adapter,3114.55,6,0.17,312.6
Ca-555010,2023-08-20,2025-04-28,Second Class,Cust-1244,Darren Warren,Consumer,Central,Office Supplies,Storage,Diverse Zero Administration Frame,3191.19,4,0.23,351.15
Ca-529318,2023-06-20,2025-04-14,Same Day,Cust-8701,Dr. Ashley Torres,Home Office,Central,Office Supplies,Labels,Grass-Roots Analyzing Artificial Intelligence,142.64,7,0.12,40.25
Ca-439054,2025-01-22,2025-04-17,Standard Class,Cust-5706,William Dalton,Consumer,South,Furniture,Tables,Monitored Tertiary Framework,3729.52,7,0.49,998.84
Ca-939383,2023-05-01,2025-04-25,Second Class,Cust-5502,Brian Martin,Corporate,East,Furniture,Tables,Face-To-Face High-Level Moderator,3292.64,8,0.38,49.19
Ca-298463,2025-03-28,2025-04-10,First Class,Cust-8234,Katherine Sherman,Consumer,Central,Office Supplies,Paper,Diverse Motivating Infrastructure,603.35,9,0.27,399.17
Ca-453968,2023-12-06,2025-04-21,Same Day,Cust-3874,Bruce Ruiz,Corporate,East,Technology,Copiers,Phased Incremental Product,726.42,2,0.34,313.6
Ca-310797,2024-03-31,2025-04-19,Same Day,Cust-1993,Ivan Martinez,Corporate,Central,Technology,Copiers,Managed Mission-Critical Throughput,1280.43,6,0.12,233.09
Ca-628465,2024-05-15,2025-04-14,Standard Class,Cust-1434,Melissa Marquez,Consumer,South,Furniture,Tables,Polarized Context-Sensitive Productivity,4405.93,8,0.41,471.23
Ca-139588,2023-11-02,2025-04-26,Standard Class,Cust-4537,Pamela Roberts,Home Office,East,Furniture,Chairs,Diverse Uniform Software,1332.06,7,0.46,493.25
Ca-908429,2023-07-11,2025-04-23,First Class,Cust-6004,Adrian Rodriguez,Corporate,West,Furniture,Furnishings,Adaptive Scalable Algorithm,3098.09,9,0.08,638.51
Ca-376199,2024-10-09,2025-04-18,Second Class,Cust-8353,Lee Alexander,Home Office,South,Technology,Phones,Ergonomic User-Facing Focus Group,4670.4,1,0.21,58.71
Ca-669208,2024-09-03,2025-05-07,First Class,Cust-1619,Sarah Baker,Corporate,West,Technology,Copiers,Inverse Fault-Tolerant Process Improvement,3313.18,10,0.32,619.51
Ca-990789,2024-10-29,2025-04-16,Standard Class,Cust-4939,James Johnson,Corporate,East,Furniture,Furnishings,Function-Based Value-Added Archive,2027.96,3,0.18,792.97
Ca-524549,2024-07-25,2025-04-23,First Class,Cust-4746,Stephanie Oliver,Corporate,Central,Furniture,Tables,Multi-Lateral Tertiary Process Improvement,1596.46,5,0.01,365.31
Ca-695986,2023-06-21,2025-04-17,Same Day,Cust-7478,Samantha Thompson,Home Office,East,Office Supplies,Paper,Configurable Holistic Orchestration,2906.38,10,0.32,858.78
